,value
2017-11-08,110224982.24799985
2017-11-09,110705637.24799985
2017-11-10,110910492.24799983
2017-11-13,110987040.24799983
2017-11-14,111222906.24799983
2017-11-15,110455329.24799985
2017-11-16,109545797.24799985
2017-11-17,109303586.24799985
2017-11-20,107920073.24799985
2017-11-21,108110554.24799985
2017-11-22,109291395.24799983
2017-11-23,109478013.24799982
2017-11-24,107084682.24799982
2017-11-27,107486735.24799982
2017-11-28,106666202.24799982
2017-11-29,107173775.24799982
2017-11-30,107927771.24799982
2017-12-01,107029618.24799982
2017-12-04,107478082.46899983
2017-12-05,106817704.46899983
2017-12-06,105901787.46899983
2017-12-07,106070208.46899983
2017-12-08,105721185.46899983
2017-12-11,106378519.46899982
2017-12-12,107377195.46899982
2017-12-13,106352413.46899983
2017-12-14,106860411.46899983
2017-12-15,106201026.46899985
2017-12-18,105667166.46899985
2017-12-19,105469170.46899985
2017-12-20,106316274.46899985
2017-12-21,105479778.46899985
2017-12-22,105957881.46899985
2017-12-25,105664276.46899985
2017-12-26,104911033.46899985
2017-12-27,105420402.46899985
2017-12-28,104835101.46899985
2017-12-29,105199712.46899983
2018-01-02,105964783.46899982
2018-01-03,106187713.21699981
2018-01-04,106187713.21699981
2018-01-05,106187713.21699981
2018-01-08,106187713.21699981
2018-01-09,106187713.21699981
2018-01-10,106187713.21699981
2018-01-11,106187713.21699981
2018-01-12,106187713.21699981
2018-01-15,106187713.21699981
2018-01-16,106187713.21699981
2018-01-17,106187713.21699981
2018-01-18,106187713.21699981
2018-01-19,106187713.21699981
2018-01-22,106187713.21699981
2018-01-23,106187713.21699981
2018-01-24,106187713.21699981
2018-01-25,106187713.21699981
2018-01-26,106187713.21699981
2018-01-29,106187713.21699981
2018-01-30,106187713.21699981
2018-01-31,106187713.21699981
2018-02-01,106187713.21699981
2018-02-02,103783104.39899983
2018-02-05,103809358.39899981
2018-02-06,103472881.39899981
2018-02-07,99248695.39899984
2018-02-08,98266568.39899984
2018-02-09,98810847.39899983
2018-02-12,94967121.39899984
2018-02-13,96434872.39899984
2018-02-14,96989493.39899984
2018-02-22,97195039.39899984
2018-02-23,98718360.39899984
2018-02-26,99217318.39899984
2018-02-27,100847517.39899983
2018-02-28,100436712.39899983
2018-03-01,100670243.39899981
2018-03-02,101398263.54099979
2018-03-05,100883751.54099979
2018-03-06,101074667.54099979
2018-03-07,102675993.54099979
2018-03-08,101766917.54099979
2018-03-09,102477693.54099977
2018-03-12,103452782.54099977
2018-03-13,104039037.54099976
2018-03-14,103310651.54099976
2018-03-15,102621078.54099976
2018-03-16,102326602.54099976
2018-03-19,101883712.54099976
2018-03-20,101828315.54099976
2018-03-21,101785918.54099976
2018-03-22,101458989.54099976
2018-03-23,100933380.54099976
2018-03-26,96962767.54099979
2018-03-27,97374020.54099977
2018-03-28,98871280.54099977
2018-03-29,98138699.54099977
2018-03-30,99435155.54099976
2018-04-02,99987335.54099976
2018-04-03,100006112.80899973
2018-04-04,100006112.80899973
2018-04-09,100006112.80899973
2018-04-10,100006112.80899973
2018-04-11,100006112.80899973
2018-04-12,100006112.80899973
2018-04-13,100006112.80899973
2018-04-16,100006112.80899973
2018-04-17,100006112.80899973
2018-04-18,100006112.80899973
2018-04-19,100006112.80899973
2018-04-20,100006112.80899973
2018-04-23,100006112.80899973
2018-04-24,100006112.80899973
2018-04-25,100006112.80899973
2018-04-26,100006112.80899973
2018-04-27,100006112.80899973
2018-05-02,100006112.80899973
2018-05-03,100006112.80899973
2018-05-04,100006112.80899973
2018-05-07,100006112.80899973
2018-05-08,100006112.80899973
2018-05-09,100006112.80899973
2018-05-10,100006112.80899973
2018-05-11,100006112.80899973
2018-05-14,100006112.80899973
2018-05-15,100006112.80899973
2018-05-16,100006112.80899973
2018-05-17,100006112.80899973
2018-05-18,100006112.80899973
2018-05-21,100006112.80899973
2018-05-22,100006112.80899973
2018-05-23,100006112.80899973
2018-05-24,100006112.80899973
2018-05-25,100006112.80899973
2018-05-28,100006112.80899973
2018-05-29,100006112.80899973
2018-05-30,100006112.80899973
2018-05-31,100006112.80899973
2018-06-01,100006112.80899973
2018-06-04,99894932.08699974
2018-06-05,99715070.08699974
2018-06-06,100538041.08699973
2018-06-07,100370074.08699973
2018-06-08,100268718.08699973
2018-06-11,98716405.08699973
2018-06-12,98435704.08699973
2018-06-13,99254883.08699971
2018-06-14,98121810.08699973
2018-06-15,97765863.08699973
2018-06-19,96910543.08699973
2018-06-20,92114557.08699976
2018-06-21,92721393.08699976
2018-06-22,91276200.08699977
