,value
2016-01-13,81247986.01900047
2016-01-14,79153235.01900046
2016-01-15,81371091.01900047
2016-01-18,78331382.01900046
2016-01-19,78985084.01900046
2016-01-20,81310216.01900047
2016-01-21,80508015.01900047
2016-01-22,77491486.01900046
2016-01-25,78233113.01900046
2016-01-26,78799970.01900046
2016-01-27,73807367.01900043
2016-01-28,73323173.01900043
2016-01-29,70883921.01900041
2016-02-01,73250937.01900043
2016-02-02,72979329.89600042
2016-02-03,72979329.89600042
2016-02-04,72979329.89600042
2016-02-05,72979329.89600042
2016-02-15,72979329.89600042
2016-02-16,72979329.89600042
2016-02-17,72979329.89600042
2016-02-18,72979329.89600042
2016-02-19,72979329.89600042
2016-02-22,72979329.89600042
2016-02-23,72979329.89600042
2016-02-24,72979329.89600042
2016-02-25,72979329.89600042
2016-02-26,72979329.89600042
2016-02-29,72979329.89600042
2016-03-01,72979329.89600042
2016-03-02,74409425.81300044
2016-03-03,77796749.81300046
2016-03-04,77912765.81300046
2016-03-07,76947302.81300046
2016-03-08,77876114.81300046
2016-03-09,77609319.81300046
2016-03-10,75891249.81300044
2016-03-11,74646537.81300044
2016-03-14,74793729.81300044
2016-03-15,76673595.81300044
2016-03-16,76174767.81300044
2016-03-17,75822854.81300044
2016-03-18,77658809.81300046
2016-03-21,79641526.81300047
2016-03-22,81714862.81300047
2016-03-23,81208306.81300047
2016-03-24,81694058.81300049
2016-03-25,80248887.81300049
2016-03-28,80415217.8130005
2016-03-29,79782322.8130005
2016-03-30,78801590.8130005
2016-03-31,80971108.81300052
2016-04-01,81059824.81300052
2016-04-05,80638309.11300048
2016-04-06,82047290.1130005
2016-04-07,81926092.1130005
2016-04-08,80335321.11300048
2016-04-11,79699650.11300048
2016-04-12,81151245.11300048
2016-04-13,80669371.11300048
2016-04-14,82055362.11300048
2016-04-15,82628106.11300048
2016-04-18,82317127.11300048
2016-04-19,80826572.11300048
2016-04-20,81342312.11300048
2016-04-21,79060525.11300047
2016-04-22,78296155.11300045
2016-04-25,78423910.11300045
2016-04-26,77937813.11300045
2016-04-27,78564285.11300047
2016-04-28,77958562.11300047
2016-04-29,77804152.11300047
2016-05-03,77789525.11300047
2016-05-04,77893337.07500048
2016-05-05,77893337.07500048
2016-05-06,77893337.07500048
2016-05-09,77893337.07500048
2016-05-10,77893337.07500048
2016-05-11,77893337.07500048
2016-05-12,77893337.07500048
2016-05-13,77893337.07500048
2016-05-16,77893337.07500048
2016-05-17,77893337.07500048
2016-05-18,77893337.07500048
2016-05-19,77893337.07500048
2016-05-20,77893337.07500048
2016-05-23,77893337.07500048
2016-05-24,77893337.07500048
2016-05-25,77893337.07500048
2016-05-26,77893337.07500048
2016-05-27,77893337.07500048
2016-05-30,77893337.07500048
2016-05-31,77893337.07500048
2016-06-01,77893337.07500048
2016-06-02,77854169.27000047
2016-06-03,78300122.27000047
2016-06-06,78656728.27000047
2016-06-07,78670749.27000047
2016-06-08,78412020.27000047
2016-06-13,77830460.27000047
2016-06-14,75116269.27000046
2016-06-15,75163045.27000046
2016-06-16,76570813.27000047
2016-06-17,75955113.27000047
2016-06-20,76482535.27000047
2016-06-21,76388682.27000047
2016-06-22,75929415.27000047
2016-06-23,76722283.27000049
2016-06-24,76141557.27000049
2016-06-27,75589117.27000049
2016-06-28,76934704.2700005
2016-06-29,77186896.2700005
